2026-07-07 16:12:25 | INFO     | ckd_ablation | [RandomForest] Evaluating 7 feature subsets...
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] All Features               n_features=24
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9901  MCC=0.9735  BalAcc=0.9833
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] Top 20 SHAP                n_features=20
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9901  MCC=0.9735  BalAcc=0.9833
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] Top 15 SHAP                n_features=15
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9901  MCC=0.9735  BalAcc=0.9833
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] Top 10 SHAP                n_features=10
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9833  F1=0.9804  MCC=0.9473  BalAcc=0.9667
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] Top 5 SHAP                 n_features=5
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.5000  F1=0.7692  MCC=0.0000  BalAcc=0.5000
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] Top 3 SHAP                 n_features=3
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.5000  F1=0.7692  MCC=0.0000  BalAcc=0.5000
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [RandomForest] Clinical Baseline          n_features=7
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.5000  F1=0.7692  MCC=0.0000  BalAcc=0.5000
2026-07-07 16:12:25 | INFO     | ckd_ablation | --------------------------------------------------
2026-07-07 16:12:25 | INFO     | ckd_ablation | [LightGBM] Loading model and data...
2026-07-07 16:12:25 | INFO     | ckd_ablation | [LightGBM] Test CSV: data/splits/uci_test.csv  (80 rows)
2026-07-07 16:12:25 | DEBUG    | ckd_ablation | [LightGBM] Train CSV: data/splits/uci_train.csv  (320 rows)
2026-07-07 16:12:25 | INFO     | ckd_ablation | [LightGBM] Feature matrix: 80 rows × 23 features
2026-07-07 16:12:25 | INFO     | ckd_ablation | [LightGBM] SHAP ranking: loading pre-computed values from artifacts/explainability/uci/LightGBM/shap_values.csv
2026-07-07 16:12:25 | INFO     | ckd_ablation | [LightGBM] Evaluating 7 feature subsets...
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [LightGBM] All Features               n_features=23
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9900  F1=0.9899  MCC=0.9739  BalAcc=0.9900
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [LightGBM] Top 20 SHAP                n_features=20
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9900  F1=0.9899  MCC=0.9739  BalAcc=0.9900
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [LightGBM] Top 15 SHAP                n_features=15
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9900  F1=0.9899  MCC=0.9739  BalAcc=0.9900
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [LightGBM] Top 10 SHAP                n_features=10
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=1.0000  F1=1.0000  MCC=1.0000  BalAcc=1.0000
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [LightGBM] Top 5 SHAP                 n_features=5
2026-07-07 16:12:25 | INFO     | ckd_ablation |     AUC=0.9667  F1=0.9804  MCC=0.9473  BalAcc=0.9667
2026-07-07 16:12:25 | INFO     | ckd_ablation |   [LightGBM] Top 3 SHAP                 n_features=3
